epoch 0, (supervised training loss (NLL) 268.5191, unsupervised training loss (NLL) 269.4500), (supervised training kl-div 6.5708, unsupervised training kl-div 6.5525), valid error 65.46% (3,273), time 2.08  ***
epoch 1, (supervised training loss (NLL) 198.3161, unsupervised training loss (NLL) 198.0075), (supervised training kl-div 0.4883, unsupervised training kl-div 0.4775), valid error 45.06% (2,253), time 2.10  ***
epoch 2, (supervised training loss (NLL) 184.7638, unsupervised training loss (NLL) 183.5163), (supervised training kl-div 0.5816, unsupervised training kl-div 0.5827), valid error 30.70% (1,535), time 2.19  ***
epoch 3, (supervised training loss (NLL) 174.4278, unsupervised training loss (NLL) 173.4028), (supervised training kl-div 1.1573, unsupervised training kl-div 1.1840), valid error 21.46% (1,073), time 2.15  ***
epoch 4, (supervised training loss (NLL) 168.4444, unsupervised training loss (NLL) 167.3038), (supervised training kl-div 1.4803, unsupervised training kl-div 1.5115), valid error 18.98% (949), time 2.10  ***
epoch 5, (supervised training loss (NLL) 166.0067, unsupervised training loss (NLL) 164.3804), (supervised training kl-div 1.5835, unsupervised training kl-div 1.6153), valid error 18.64% (932), time 2.10  ***
epoch 6, (supervised training loss (NLL) 164.0576, unsupervised training loss (NLL) 162.1901), (supervised training kl-div 1.8821, unsupervised training kl-div 1.9188), valid error 17.42% (871), time 2.09  ***
epoch 7, (supervised training loss (NLL) 159.5812, unsupervised training loss (NLL) 158.0473), (supervised training kl-div 2.7262, unsupervised training kl-div 2.7652), valid error 15.14% (757), time 2.33  ***
epoch 8, (supervised training loss (NLL) 154.8371, unsupervised training loss (NLL) 153.6590), (supervised training kl-div 3.2894, unsupervised training kl-div 3.3307), valid error 14.12% (706), time 2.13  ***
epoch 9, (supervised training loss (NLL) 151.7484, unsupervised training loss (NLL) 150.7209), (supervised training kl-div 3.6193, unsupervised training kl-div 3.6583), valid error 13.24% (662), time 2.10  ***
epoch 10, (supervised training loss (NLL) 149.3090, unsupervised training loss (NLL) 148.4073), (supervised training kl-div 3.9858, unsupervised training kl-div 4.0129), valid error 12.64% (632), time 2.10  ***
epoch 11, (supervised training loss (NLL) 147.2370, unsupervised training loss (NLL) 146.3784), (supervised training kl-div 4.2324, unsupervised training kl-div 4.2601), valid error 12.16% (608), time 2.10  ***
epoch 12, (supervised training loss (NLL) 145.3127, unsupervised training loss (NLL) 144.5038), (supervised training kl-div 4.4608, unsupervised training kl-div 4.4880), valid error 12.06% (603), time 2.10  ***
epoch 13, (supervised training loss (NLL) 143.5669, unsupervised training loss (NLL) 142.9049), (supervised training kl-div 4.6653, unsupervised training kl-div 4.6805), valid error 12.08% (604), time 2.11 
epoch 14, (supervised training loss (NLL) 141.8993, unsupervised training loss (NLL) 141.3279), (supervised training kl-div 4.8801, unsupervised training kl-div 4.8900), valid error 12.08% (604), time 2.11 
epoch 15, (supervised training loss (NLL) 140.3991, unsupervised training loss (NLL) 139.8085), (supervised training kl-div 5.0760, unsupervised training kl-div 5.0952), valid error 11.70% (585), time 2.11  ***
epoch 16, (supervised training loss (NLL) 138.5986, unsupervised training loss (NLL) 138.3327), (supervised training kl-div 5.2927, unsupervised training kl-div 5.3024), valid error 11.26% (563), time 2.10  ***
epoch 17, (supervised training loss (NLL) 137.0252, unsupervised training loss (NLL) 136.8210), (supervised training kl-div 5.5079, unsupervised training kl-div 5.5157), valid error 10.86% (543), time 2.11  ***
epoch 18, (supervised training loss (NLL) 135.6739, unsupervised training loss (NLL) 135.5686), (supervised training kl-div 5.7193, unsupervised training kl-div 5.7244), valid error 10.42% (521), time 2.22  ***
epoch 19, (supervised training loss (NLL) 134.3180, unsupervised training loss (NLL) 134.2942), (supervised training kl-div 5.9167, unsupervised training kl-div 5.9091), valid error 10.42% (521), time 2.23 
epoch 20, (supervised training loss (NLL) 132.9778, unsupervised training loss (NLL) 133.1291), (supervised training kl-div 6.0925, unsupervised training kl-div 6.0922), valid error 10.14% (507), time 2.57  ***
epoch 21, (supervised training loss (NLL) 131.8054, unsupervised training loss (NLL) 132.0279), (supervised training kl-div 6.2536, unsupervised training kl-div 6.2562), valid error 9.90% (495), time 2.34  ***
epoch 22, (supervised training loss (NLL) 130.7439, unsupervised training loss (NLL) 130.9209), (supervised training kl-div 6.4218, unsupervised training kl-div 6.4343), valid error 9.66% (483), time 2.33  ***
epoch 23, (supervised training loss (NLL) 129.6149, unsupervised training loss (NLL) 129.9354), (supervised training kl-div 6.6231, unsupervised training kl-div 6.6202), valid error 9.20% (460), time 2.32  ***
epoch 24, (supervised training loss (NLL) 128.4744, unsupervised training loss (NLL) 128.8948), (supervised training kl-div 6.7701, unsupervised training kl-div 6.7698), valid error 8.96% (448), time 2.40  ***
epoch 25, (supervised training loss (NLL) 127.5642, unsupervised training loss (NLL) 127.9679), (supervised training kl-div 6.9467, unsupervised training kl-div 6.9440), valid error 8.80% (440), time 2.33  ***
epoch 26, (supervised training loss (NLL) 126.5972, unsupervised training loss (NLL) 127.1213), (supervised training kl-div 7.1177, unsupervised training kl-div 7.0992), valid error 8.52% (426), time 2.43  ***
epoch 27, (supervised training loss (NLL) 125.5886, unsupervised training loss (NLL) 126.3473), (supervised training kl-div 7.2270, unsupervised training kl-div 7.2163), valid error 8.54% (427), time 2.30 
epoch 28, (supervised training loss (NLL) 124.9771, unsupervised training loss (NLL) 125.6031), (supervised training kl-div 7.3930, unsupervised training kl-div 7.3752), valid error 8.36% (418), time 2.10  ***
epoch 29, (supervised training loss (NLL) 124.1475, unsupervised training loss (NLL) 124.8178), (supervised training kl-div 7.5000, unsupervised training kl-div 7.4953), valid error 8.16% (408), time 2.16  ***
epoch 30, (supervised training loss (NLL) 123.3735, unsupervised training loss (NLL) 124.1460), (supervised training kl-div 7.6288, unsupervised training kl-div 7.6124), valid error 7.98% (399), time 2.36  ***
epoch 31, (supervised training loss (NLL) 122.6688, unsupervised training loss (NLL) 123.4560), (supervised training kl-div 7.7329, unsupervised training kl-div 7.7210), valid error 8.14% (407), time 2.38 
epoch 32, (supervised training loss (NLL) 121.9706, unsupervised training loss (NLL) 122.8864), (supervised training kl-div 7.8566, unsupervised training kl-div 7.8373), valid error 7.90% (395), time 2.15  ***
epoch 33, (supervised training loss (NLL) 121.4839, unsupervised training loss (NLL) 122.2964), (supervised training kl-div 7.9795, unsupervised training kl-div 7.9647), valid error 7.84% (392), time 2.10  ***
epoch 34, (supervised training loss (NLL) 120.7857, unsupervised training loss (NLL) 121.6258), (supervised training kl-div 8.0633, unsupervised training kl-div 8.0520), valid error 7.62% (381), time 2.10  ***
epoch 35, (supervised training loss (NLL) 120.1848, unsupervised training loss (NLL) 121.1414), (supervised training kl-div 8.1739, unsupervised training kl-div 8.1552), valid error 7.74% (387), time 2.10 
epoch 36, (supervised training loss (NLL) 119.3917, unsupervised training loss (NLL) 120.5460), (supervised training kl-div 8.2689, unsupervised training kl-div 8.2481), valid error 7.78% (389), time 2.18 
epoch 37, (supervised training loss (NLL) 119.0748, unsupervised training loss (NLL) 120.0095), (supervised training kl-div 8.3644, unsupervised training kl-div 8.3437), valid error 7.38% (369), time 2.29  ***
epoch 38, (supervised training loss (NLL) 118.4537, unsupervised training loss (NLL) 119.4242), (supervised training kl-div 8.4866, unsupervised training kl-div 8.4699), valid error 7.52% (376), time 2.30 
epoch 39, (supervised training loss (NLL) 117.9291, unsupervised training loss (NLL) 118.9868), (supervised training kl-div 8.5849, unsupervised training kl-div 8.5607), valid error 7.44% (372), time 2.20 
epoch 40, (supervised training loss (NLL) 117.3035, unsupervised training loss (NLL) 118.4755), (supervised training kl-div 8.6384, unsupervised training kl-div 8.6246), valid error 7.34% (367), time 2.36  ***
epoch 41, (supervised training loss (NLL) 116.7543, unsupervised training loss (NLL) 117.9687), (supervised training kl-div 8.7353, unsupervised training kl-div 8.7141), valid error 7.16% (358), time 2.23  ***
epoch 42, (supervised training loss (NLL) 116.3143, unsupervised training loss (NLL) 117.5583), (supervised training kl-div 8.8458, unsupervised training kl-div 8.8265), valid error 7.28% (364), time 2.38 
